position,name,country
GK,Matěj Kovář,CZE
DF,David Zima,CZE
DF,Tomáš Holeš,CZE
DF,Robin Hranáč,CZE
DF,Vladimír Coufal,CZE
DF,Štěpán Chaloupek,CZE
DF,Ladislav Krejčí,CZE
MF,Vladimír Darida,CZE
FW,Adam Hložek,CZE
FW,Patrik Schick,CZE
FW,Jan Kuchta,CZE
MF,Lukáš Červ,CZE
FW,Mojmír Chytil,CZE
DF,David Jurásek,CZE
FW,Pavel Šulc,CZE
GK,Jindřich Staněk,CZE
MF,Lukáš Provod,CZE
MF,Michal Sadílek,CZE
FW,Tomáš Chorý,CZE
DF,Jaroslav Zelený,CZE
DF,David Douděra,CZE
MF,Tomáš Souček,CZE
GK,Lukáš Horníček,CZE
MF,Alexandr Sojka,CZE
MF,Hugo Sochůrek,CZE
FW,Denis Višinský,CZE
GK,Raúl Rangel,MEX
DF,Jorge Sánchez,MEX
DF,César Montes,MEX
DF,Edson Álvarez,MEX
DF,Johan Vásquez,MEX
MF,Érik Lira,MEX
MF,Luis Romo,MEX
MF,Álvaro Fidalgo,MEX
FW,Raúl Jiménez,MEX
FW,Alexis Vega,MEX
FW,Santiago Giménez,MEX
GK,Carlos Acevedo,MEX
GK,Guillermo Ochoa,MEX
FW,Armando González,MEX
DF,Israel Reyes,MEX
FW,Julián Quiñones,MEX
MF,Orbelín Pineda,MEX
MF,Obed Vargas,MEX
MF,Gilberto Mora,MEX
DF,Mateo Chávez,MEX
FW,César Huerta,MEX
FW,Guillermo Martínez,MEX
DF,Jesús Gallardo,MEX
MF,Luis Chávez,MEX
FW,Roberto Alvarado,MEX
MF,Brian Gutiérrez,MEX
GK,Ronwen Williams,ZAF
DF,Thabang Matuludi,ZAF
DF,Khulumani Ndamane,ZAF
MF,Teboho Mokoena,ZAF
MF,Thalente Mbatha,ZAF
DF,Aubrey Modiba,ZAF
FW,Oswin Appollis,ZAF
FW,Tshepang Moremi,ZAF
FW,Lyle Foster,ZAF
FW,Relebohile Mofokeng,ZAF
MF,Themba Zwane,ZAF
FW,Thapelo Maseko,ZAF
MF,Sphephelo Sithole,ZAF
DF,Mbekezeli Mbokazi,ZAF
FW,Iqraam Rayners,ZAF
GK,Sipho Chaine,ZAF
FW,Evidence Makgopa,ZAF
DF,Samukele Kabini,ZAF
DF,Nkosinathi Sibisi,ZAF
DF,Khuliso Mudau,ZAF
DF,Ime Okon,ZAF
GK,Ricardo Goss,ZAF
MF,Jayden Adams,ZAF
DF,Olwethu Makhanya,ZAF
FW,Kamogelo Sebelebele,ZAF
DF,Bradley Cross,ZAF
GK,Kim Seung-gyu,KOR
DF,Lee Han-beom,KOR
MF,Lee Gi-hyuk,KOR
DF,Kim Min-jae,KOR
DF,Kim Tae-hyeon,KOR
MF,Hwang In-beom,KOR
FW,Son Heung-min,KOR
MF,Paik Seung-ho,KOR
FW,Cho Gue-sung,KOR
MF,Lee Jae-sung,KOR
MF,Hwang Hee-chan,KOR
GK,Song Bum-keun,KOR
DF,Lee Tae-seok,KOR
